HolderAddress,Balance
0x932fF8d8D5d56160682F52a9310cf1e3bF86368A,2044745.985071083489561911
0x8361CBF8B873408BCa804d92b86E8B375BECC1C3,1980892.554955462641605589
0xd6177fD3F3dF4034c934051324971b6E2562687A,1878863.767407717461957824
0xd49aD351381326aa6dd7f610161650A2ec789435,1861967.27853092301576346
0xc0Dea1B497843938F0A28218337B56180D4208Fe,1837520.055309784459341659
0xa60371B3a6E8dC8c605a9571710C5a02dC11F1C4,1747295.256456031429697091
0x70Ecdabb6Ad8a8C0E14dC2Dba50bACA90cfb4C92,1724734.228155263082126086
0x6f9264ABeE99FacCd8F8c8A3792b2B955f5c1aE8,1723594.342457260068226557
0x38F5E5b4DA37531a6e85161e337e0238bB27aa90,1710250.766492918899860696
0x4F5c47F9Ed74e2A3eCFF123A09b9114d15923Cc7,1707897.68027663270792242
0x8bf9426EFf0732eA7feC9cB70C155cB652A8E853,1703799.977886333046024051
0xbCb1B103205c65a5e7Bf54F005BB494c50f30B54,1671185.330470473936009845
0x0CE35bAc428EE1313B8709386cdD8bFaba75fE4D,1657407.604934835843637936
0x3FEea36C07b879878b9213E466f0F293F7337c09,1574445.951177845275165946
0xF2320B215cf52aBe7aB5BcEBc52D8278721ca30E,1563479.833433360172056576
0x5EfFd5e94e12C458560a37f35f11680027b08221,1550570.984128885667347632
0x8a72e57c49dddb2d737B75c79fe2B35C8F3A8cEf,1520724.025898310598472239
0x0AA617bE743886a0294F017A395502BB622B8000,1515990.285442283782651114
0x6Ad2AbE676A3a6d4E2831753dd7f38666A3d2427,1500670.846356221757499106
0x9463FA02FEe968621A99c5aEa6711D3cb87cF9Cf,1439972.828207202019043326
0x2cffEd5d56eB6a17662756ca0FdF350e732C9818,1432487.117481268640919498
0xaD01C20d5886137e056775af56915de824c8fCe5,1426093.464035112455568979
0xe03235c4A8F5d96CBBCa55E2a4a87C8fDc522843,1411811.880023506621114095
0x29292d614c63d3D2F95F4A221E6d9757Cd5615Da,1377406.052837842131220662
0x8B7c602c648e30cBE9b19f4e8ef0d83D8AD3fBbB,1360113.709549646054015886
0xa2a33F9d4782b09d198E07A3816a78853DE8F04b,1324175.052887204444552332
0x181EE6a4d1442219d619Ff0FB9b4D08755eBB75F,1317501.961699933856331018
